# source, target
1,236
3,281
4,429
4,545
4,572
7,354
7,356
10,280
10,281
10,605
10,606
11,5
11,28
11,89
11,793
12,548
12,665
12,677
14,248
14,907
15,74
16,907
17,907
18,248
18,907
19,74
20,74
20,248
21,248
21,907
22,74
23,248
23,907
24,5
24,28
24,81
24,83
24,94
24,249
24,510
24,545
24,644
25,28
25,94
25,628
25,644
25,667
25,672
25,727
26,897
27,354
29,694
30,694
31,633
31,804
33,434
33,435
34,434
34,435
36,236
36,784
36,914
37,236
38,429
38,572
38,784
40,249
41,434
41,435
42,248
42,906
43,248
44,248
44,906
45,248
46,248
46,395
46,906
47,248
48,248
48,906
51,55
52,248
53,248
54,248
56,55
60,715
62,248
62,281
62,282
62,910
62,911
63,248
64,261
65,261
66,261
67,261
70,547
72,700
73,628
73,694
73,784
73,793
76,694
76,732
84,164
84,261
85,395
85,545
85,793
85,906
86,395
86,694
86,732
86,793
86,906
86,908
87,455
88,89
89,424
89,425
91,547
93,633
93,804
94,672
95,713
96,713
97,5
97,545
97,548
97,793
97,909
98,393
99,393
102,804
103,395
105,8
105,393
105,715
106,393
107,393
108,355
111,112
113,355
113,793
114,355
114,793
115,694
116,364
116,694
119,604
119,605
119,910
120,604
120,605
121,355
122,395
123,217
123,395
123,803
124,393
125,393
126,665
126,694
126,714
126,732
126,803
127,567
127,665
127,714
128,665
128,803
129,603
130,910
131,910
132,360
132,572
133,5
133,686
133,910
134,248
135,248
136,434
136,435
136,572
137,455
138,384
139,139
141,28
141,455
141,793
142,393
143,384
144,384
145,8
145,641
145,714
145,715
146,280
146,384
146,434
146,435
146,633
146,804
147,149
147,316
148,149
148,316
151,280
151,910
152,101
152,104
152,280
152,424
152,910
152,915
153,280
153,572
153,784
153,912
154,633
154,803
154,804
155,90
155,280
155,910
157,633
157,804
158,164
158,248
158,261
158,908
159,164
159,261
159,908
160,164
160,261
161,164
161,261
161,908
162,164
162,248
162,261
163,164
163,261
163,908
164,165
164,244
164,261
165,165
165,244
165,261
169,393
170,164
170,261
171,455
172,434
172,804
173,316
173,694
173,732
174,5
175,694
175,732
176,349
176,563
176,915
177,563
177,915
178,604
179,793
180,393
181,633
182,424
182,425
182,434
182,435
183,393
184,393
185,897
187,164
187,261
187,908
188,164
188,261
188,908
189,455
191,8
191,715
195,118
195,139
195,279
195,784
195,807
195,912
196,545
196,548
196,909
197,545
197,909
198,732
199,355
200,286
201,280
201,572
202,694
203,455
204,694
205,355
205,548
206,355
206,548
207,909
209,150
209,547
210,897
212,694
213,694
214,547
215,547
216,547
218,81
218,83
219,492
219,915
220,492
221,915
223,804
224,28
224,455
224,793
225,384
225,547
226,547
227,384
228,547
229,547
230,239
230,261
231,1
231,100
231,101
231,628
231,694
232,694
234,83
234,236
234,239
234,424
234,548
234,641
234,644
234,677
234,784
234,793
234,912
235,236
235,239
235,644
235,784
235,912
237,90
237,236
237,239
238,239
239,424
240,236
240,239
241,239
242,165
242,244
242,261
243,470
244,164
244,261
247,694
247,732
251,248
252,239
253,164
253,261
253,374
254,261
255,434
255,435
256,572
256,910
257,694
259,249
259,434
259,435
260,244
260,248
260,261
262,434
262,435
263,804
264,248
264,261
265,545
266,249
268,804
269,633
269,804
270,434
270,435
271,434
271,435
273,139
274,804
276,28
276,355
278,248
278,634
278,784
281,424
283,424
283,914
287,910
288,280
288,429
288,572
289,910
290,910
293,667
294,667
298,248
299,248
300,248
300,634
300,804
301,248
301,545
301,907
302,248
303,74
304,248
304,907
305,280
308,355
309,8
309,81
309,83
309,492
309,628
309,643
309,644
309,665
309,712
309,714
309,715
309,784
309,914
310,248
311,248
313,349
313,793
314,434
314,435
315,316
316,793
317,316
317,434
317,435
318,316
318,434
318,435
318,804
319,316
319,434
319,435
320,434
320,435
321,434
321,435
321,633
321,804
322,316
322,633
322,804
323,665
323,667
323,670
323,671
323,672
324,665
324,670
324,671
324,672
325,667
325,694
325,732
326,557
326,915
327,424
327,434
327,435
328,438
328,560
328,686
328,914
329,470
329,474
330,424
330,425
331,424
331,560
331,912
331,915
332,438
332,560
332,686
332,914
333,424
333,560
333,912
333,915
334,914
335,914
336,470
336,474
337,694
338,280
339,686
340,603
341,604
341,605
342,89
343,455
346,248
346,374
346,548
347,248
347,374
347,793
348,248
348,374
349,351
349,563
349,567
349,784
349,913
350,349
350,616
350,793
352,286
353,286
353,355
353,616
353,641
353,644
353,793
354,355
354,793
355,355
355,793
356,356
357,470
357,474
358,694
359,355
361,89
361,424
361,425
362,316
363,364
363,694
365,694
366,910
367,910
368,248
369,732
370,732
371,239
372,374
373,374
373,665
374,248
375,248
375,374
375,492
376,248
376,910
377,248
377,379
378,379
380,248
380,379
381,633
381,804
382,379
383,379
385,915
388,390
389,424
394,897
395,914
396,283
397,89
397,631
398,455
399,434
399,435
402,793
403,793
404,239
405,349
405,793
407,90
407,416
407,495
408,90
408,248
408,416
409,90
409,248
409,416
411,416
412,90
412,416
413,416
416,248
417,416
418,90
419,36
419,236
419,395
419,784
420,784
420,914
423,694
423,732
431,694
431,732
436,434
436,435
438,239
439,60
439,222
439,433
439,694
439,732
440,489
450,393
451,393
454,455
455,455
456,914
457,572
458,355
458,793
459,804
461,784
462,784
463,784
465,713
466,239
467,694
467,715
468,715
469,424
471,470
472,470
473,470
474,470
474,474
475,470
475,474
476,694
477,750
479,910
480,28
480,793
481,455
482,455
483,909
484,5
484,545
484,909
485,694
485,909
486,239
486,434
486,435
486,633
486,804
486,909
487,355
488,694
488,732
490,492
490,495
490,914
491,492
491,495
491,914
494,286
494,750
496,286
496,354
496,492
496,493
496,495
496,628
496,667
496,914
497,492
497,495
499,492
499,495
499,694
500,495
500,914
501,258
501,574
501,793
503,354
503,395
503,545
504,139
505,393
506,434
506,435
507,393
508,393
509,393
511,5
511,28
511,455
511,793
512,455
512,793
514,261
514,641
514,643
515,584
516,393
517,393
518,694
519,694
520,694
520,732
521,248
523,355
524,694
524,732
525,804
526,910
527,804
528,150
529,164
529,261
529,495
530,164
530,261
530,495
531,164
531,261
532,455
533,455
534,560
536,280
536,910
537,5
537,90
537,910
538,454
540,393
541,393
542,393
543,393
544,393
545,548
546,434
546,435
549,793
551,349
551,793
552,793
553,424
553,425
554,393
555,393
556,393
557,557
564,349
565,349
565,793
567,8
567,628
567,715
567,784
567,793
569,393
569,732
569,784
570,784
572,280
572,572
572,784
575,545
576,545
577,249
578,316
579,5
580,5
581,910
582,584
583,804
585,545
586,545
587,249
588,249
589,545
590,804
598,149
601,694
601,732
607,694
607,732
608,914
609,90
610,665
611,694
612,910
613,910
614,910
615,281
618,248
619,914
623,694
623,732
624,349
625,248
626,715
628,548
632,793
635,793
636,803
638,708
645,470
645,474
645,896
646,149
646,280
646,633
646,804
647,280
647,434
647,435
647,804
647,910
650,694
651,393
652,495
653,349
653,628
653,793
654,694
654,732
655,349
655,793
656,793
657,5
657,708
658,349
659,434
659,435
661,455
662,349
663,349
665,665
678,694
678,732
679,694
679,732
680,316
680,804
681,316
681,434
681,435
682,434
682,435
682,694
682,732
683,316
687,694
687,784
688,233
689,222
689,448
689,628
689,914
690,222
690,433
690,628
690,643
690,644
690,914
694,694
695,395
695,694
695,784
696,36
696,395
696,914
697,784
698,784
699,37
699,395
699,470
699,616
699,628
699,694
699,711
699,784
705,424
706,424
706,634
706,641
706,644
706,912
706,915
707,424
709,249
710,732
711,628
713,393
713,665
714,393
714,665
715,395
715,548
716,665
728,633
728,804
730,677
733,249
734,249
735,455
751,750
752,750
753,750
754,750
756,750
757,248
758,547
759,434
759,435
759,694
759,732
762,793
763,393
764,694
764,732
766,548
766,909
767,424
767,425
767,434
767,435
768,804
770,90
771,248
772,248
773,248
773,492
774,248
775,393
775,633
775,804
776,633
776,804
777,633
777,804
778,694
778,732
781,434
781,435
782,5
783,393
786,804
787,442
788,316
788,434
789,164
789,261
789,791
789,908
790,164
790,166
790,791
792,165
792,166
792,261
792,791
794,393
796,513
797,513
798,513
799,513
801,694
801,732
803,470
810,633
811,910
813,694
813,732
814,424
814,425
815,455
817,804
819,694
819,732
820,633
820,804
821,424
821,425
822,694
822,732
823,424
823,425
827,424
827,425
828,384
831,434
831,435
832,694
832,732
834,694
834,732
836,694
836,732
838,694
839,694
843,694
844,694
844,732
846,694
846,732
848,384
849,455
851,434
855,424
855,425
857,750
858,424
858,425
858,694
858,732
861,694
861,732
864,633
864,804
869,694
869,732
870,434
870,435
872,633
872,804
873,694
873,732
874,804
877,455
877,897
878,897
879,694
880,470
880,474
880,896
881,694
883,732
884,694
886,455
887,694
887,732
895,694
895,732
896,470
896,896
897,897
899,793
901,897
902,897
903,897
904,897
905,633
905,804
910,424
911,424
913,351
913,563
913,567
914,628
